field,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,rcid
237,298.63653999999997,-31.45,0.12,9.7008,-26.9867,294.5636,-10.4203,0
238,306.38532000000004,-31.45,0.08,11.7537,-33.3535,301.1383,-11.8596,0
239,314.13411,-31.45,0.09,13.5467,-39.8043,307.6751,-13.6005,0
240,321.88289,-31.45,0.05,15.0534,-46.3214,314.1794,-15.6187,0
241,329.63167999999996,-31.45,0.02,16.2074,-52.8883,320.663,-17.8872,0
242,337.38046,-31.45,0.02,16.863,-59.4874,327.1443,-20.3764,0
243,345.12925,-31.45,0.02,16.6903,-66.096,333.6493,-23.0548,0
244,352.87804,-31.45,0.01,14.8334,-72.6735,340.2109,-25.8889,0
245,1.16039,-24.25,0.03,48.038,-79.5376,350.8741,-22.5923,64
246,8.553460000000001,-24.25,0.02,75.6123,-85.4187,357.526,-25.5164,64
247,15.946539999999999,-24.25,0.03,170.3877,-85.4187,4.3348,-28.4551,64
248,23.33961,-24.25,0.01,197.962,-79.5376,11.35,-31.3667,64
249,30.73268,-24.25,0.01,206.4267,-73.0847,18.6242,-34.2058,64
250,38.12575,-24.25,0.03,211.1456,-66.5393,26.2102,-36.923,64
251,45.51882,-24.25,0.02,214.5826,-59.9766,34.1576,-39.4638,64
252,52.91189,-24.25,0.02,217.4613,-53.4229,42.5058,-41.7698,64
253,60.304959999999994,-24.25,0.05,220.0759,-46.8932,51.2759,-43.7788,64
254,67.69804,-24.25,0.04,222.5746,-40.3993,60.4605,-45.4285,64
255,75.09111,-24.25,0.04,225.0461,-33.9525,70.0139,-46.6602,64
256,82.48418000000001,-24.25,0.03,227.5526,-27.5653,79.8473,-47.4248,64
257,89.87725,-24.25,0.05,230.1444,-21.2513,89.8337,-47.6892,64
258,97.27032,-24.25,0.1,232.8673,-15.0272,99.8228,-47.4417,64
259,104.66339,-24.25,0.19,235.7669,-8.9125,109.6635,-46.6933,64
260,112.05646000000002,-24.25,0.52,238.8922,-2.9315,119.2278,-45.4765,64
261,119.39571000000001,-24.25,0.17,242.2711,2.8444,128.3601,-43.853,64
262,126.68113999999998,-24.25,0.1,245.9562,8.3828,137.0225,-41.8886,0
263,133.96657,-24.25,0.1,250.0365,13.6826,145.2747,-39.6326,0
264,141.252,-24.25,0.14,254.5833,18.6889,153.1354,-37.1444,64
265,148.53743,-24.25,0.05,259.671,23.3339,160.6416,-34.4804,38
266,155.82286000000002,-24.25,0.06,265.3694,27.5358,167.8399,-31.6928,54
267,163.10828999999998,-24.25,0.05,271.7302,31.1981,174.7809,-28.8297,62
268,170.39371,-24.25,0.1,278.7661,34.2135,181.5151,-25.9349,47
269,177.67914,-24.25,0.05,286.4266,36.4719,188.0903,-23.0487,32
270,184.96457,-24.25,0.1,294.5772,37.8741,194.5505,-20.2087,34
271,192.25,-24.25,0.07,303.0,38.35,200.9351,-17.4501,64
272,199.53543,-24.25,0.12,311.4228,37.8741,207.2786,-14.8063,59
273,206.82086,-24.25,0.08,319.5734,36.4719,213.6103,-12.3091,64
274,214.10629,-24.25,0.09,327.2339,34.2135,219.9542,-9.9892,64
275,221.39171000000002,-24.25,0.1,334.2698,31.1981,226.3285,-7.8756,64
276,228.67713999999998,-24.25,0.12,340.6306,27.5358,232.746,-5.9958,64
277,235.96257000000003,-24.25,0.22,346.329,23.3339,239.2138,-4.3751,64
278,243.248,-24.25,0.18,351.4167,18.6889,245.7331,-3.0363,63
279,250.53342999999998,-24.25,0.39,355.9635,13.6826,252.2998,-1.9989,63
280,257.81886000000003,-24.25,0.35,0.0438,8.3828,258.9052,-1.2786,64
281,265.10429,-24.25,0.67,3.7289,2.8444,265.5367,-0.8865,64
282,272.44354,-24.25,1.71,7.1078,-2.9315,272.228,-0.8296,45
283,279.83661,-24.25,0.23,10.2331,-8.9125,278.9629,-1.1162,62
284,287.22968,-24.25,0.14,13.1327,-15.0272,285.6757,-1.7434,64
285,294.62275,-24.25,0.12,15.8556,-21.2513,292.3523,-2.7012,64
286,302.01582,-24.25,0.13,18.4474,-27.5653,298.9823,-3.9745,64
287,309.40889,-24.25,0.05,20.9539,-33.9525,305.5598,-5.544,64
288,316.80196,-24.25,0.06,23.4254,-40.3993,312.0848,-7.3867,64
289,324.19504,-24.25,0.05,25.9241,-46.8932,318.5629,-9.4769,64
290,331.58811000000003,-24.25,0.04,28.5387,-53.4229,325.006,-11.7863,64
291,338.98118,-24.25,0.02,31.4174,-59.9766,331.4321,-14.2849,64
292,346.37425,-24.25,0.02,34.8544,-66.5393,337.8648,-16.9411,64
293,353.76732000000004,-24.25,0.02,39.5733,-73.0847,344.3338,-19.7217,64
294,1.62711,-17.05,0.03,77.3221,-75.7386,354.5176,-16.2488,64
295,8.70904,-17.05,0.02,104.7265,-79.1454,0.9812,-19.0622,64
296,15.79096,-17.05,0.02,141.2735,-79.1454,7.5583,-21.8699,64
297,22.872889999999998,-17.05,0.02,168.6779,-75.7386,14.2864,-24.6344,64
298,29.95482,-17.05,0.03,184.3543,-70.6524,21.2035,-27.3161,64
299,37.03675,-17.05,0.03,193.8575,-64.8952,28.3456,-29.8726,64
300,44.11868,-17.05,0.04,200.3449,-58.8462,35.7446,-32.2593,64
301,51.20061,-17.05,0.07,205.2449,-52.6582,43.4241,-34.4295,64
302,58.282540000000004,-17.05,0.04,209.2468,-46.4031,51.3955,-36.3353,64
